id,id_marque,id_modele,designation,annee,kilometrage,prix
1,1,1,Alfa Romeo 147 1.9 JTD,2006,86500,9990
2,1,1,Alfa Romeo 147 TI 150CV serie SPECIAL sport,2006,67000,13400
3,1,1,ALFA 147 DUCATI 170cv - Sous garantie,2009,25000,25000
4,1,1,Alfa 147,2001,89000,6000
5,1,1,Alfa Romeo 147 2.0 L Selespeed Twin Spark 3 portes,2001,148000,5600
6,1,1,Alfa Romeo 147 1.9JTD 16v 140cv,2004,95000,9900
7,1,2,Alfa Romeo GT 1.9 JTD 150 Cuir GPS Distinctive,2005,85000,12990
8,1,2,ALFA ROMEO GT coupÃ© 150 CV DIESEL,2007,41095,15780
9,1,2,Alfa romeo 166 jtd 2.4 stronic 175 cv selective,2003,140000,9500
10,1,3,ALFA ROMEO 156 1.9 jtd SPORTWAGON 115cv,2001,39000,3300
11,1,3,Alfa romeo 156 1.9 jtd,2001,192000,4500
12,1,3,Alfa romeo 156 sw 1.9 jtd 115 cv an. 2004,2004,99300,9000
13,1,3,Alfa romeo 156 sw 1.9 jtd 115 cv an. 2004,2004,99300,9000
14,1,3,Alfa romeo 156 sw 1.9 jtd 115 cv an. 2004,2004,99300,9000
15,1,3,Alfa romeo 159 1.9 jtdm 150 cv distinctive,2006,53500,13700
16,1,3,Alfa romeo 159 1.9 jtdm 150 cv distinctive,2006,53500,13700
17,1,3,Alfa 156,2004,117000,9800
18,1,3,Alfa 156,2004,117000,9800
19,1,3,Alfa romeo 156 jtd,2003,84000,9000
20,1,3,Alfa 156,2000,164000,4000
21,1,4,ALFA ROMEO 166 2.0 TS 155 CV / Twin Spark,1998,120850,4800
22,1,5,Alfa Romeo GT Q2 2008,2008,37700,20200
23,1,5,Alfa Romeo GT Q2 2008,2008,44000,17900
24,1,5,Superbe Alpha RomÃ©o GT 1.9L JTD 150 CV,2008,15000,18000
25,2,6,Audi a3 sportback 1.9 l tdi 105 cv ambition faceli,2008,26500,21900
26,2,6,Audi A3 Sportback 2.0 TDI 170 ch Quattro S Line,2006,124000,16800
27,2,6,"Audi A3 1.9 TDI 130CV Pack S-Line GPS&virgule;XENONE&virgule;JA19""",2002,119000,9500
28,2,6,Audi a3 sportback 2.0 tdi 140 cv 2005,2005,94500,13500
29,2,6,Audi A3 2L TDI 170CV S-Line,2007,46000,22750
30,2,6,Audi a 3 1.9 tdi,2002,169000,6000
31,2,6,AUDI A3 SPORTBACK 1&virgule,1995,2006,5000
32,2,6,AUDI A3 S-Line 2.0 TDI 140Ch,2006,63000,19000
33,2,6,Audi a3 2.0 tdi,2004,112700,12800
34,2,6,Audi A3 Sportback 2.0 TDI (140cv ) Ambition,2006,87000,14500
35,2,6,AUDI A3 Sportback ambition luxe,2005,112882,14850
36,2,6,Audi A3 Sportback 2.0 TDI (140cv ) Ambition,2006,87000,14500
37,2,6,AUDI A3 Sportback ambition luxe,2005,112882,14850
38,2,6,Audi A3 SPORBACK 1.9 tdi 105 S LINE,2006,88500,21000
39,2,6,Audi A3 2.0tdi 140cv noire mÃ©tal,2004,132000,11900
40,2,6,Audi A3 SPORBACK 1.9 tdi 105 S LINE,2006,88500,21000
41,2,6,Audi A3 SPORBACK 1.9 tdi 105 S LINE,2006,88500,21000
42,2,6,Audi A3 AMBITION 2009,2009,23000,22600
43,2,6,Audi a3 sportback,2008,25000,20000
44,2,6,Audi A3 AMBITION 2009,2009,23000,22600
45,2,6,Audi a3 sportback,2008,25000,20000
46,2,6,Audi A3 sporback,2007,78000,17200
47,2,6,Audi A3 sporback,2007,78000,17200
48,2,6,Audi A3 ambition 1.9 tdi,2007,51000,16350
49,2,6,Audi a3 2.0 tdi 170ch s-line prix negociable,2007,91000,17800
50,2,6,Audi a3 tdi 130 cv,2001,203000,6850
51,2,6,Audi A3 Sportback 1.9 Tdi Noire modele Ambition,2006,62000,14900
52,2,6,Audi A3 Sportback 1.9 Tdi Noire modele Ambition,2006,62000,14900
53,2,6,Audi a3 tdi dpf 11/2006 - ETAT NEUF,2006,77000,15900
54,2,6,Audi a3 tdi 1.9 ambition 130 cv,2003,153000,9400
55,2,6,Audi a3 1.9 tdi 130cv ambiante,2003,128000,9900
56,2,6,A3 1.9l tdi 130 cv ambiente bv6,2002,109000,10000
57,2,6,Audi A3 sportback 1.9 TDI 105 cv ambition,2005,72000,14200
58,2,6,Audi A3 sportback 1.9 TDI 105 cv ambition,2005,72000,14200
59,2,6,AUDI A3 1.9 tdi,1997,216000,6000
60,2,6,AUDI A3 sportback 1.9 l 105 ambiente bv5,2008,46500,19500
61,2,6,Audi A3 sportback 1.9 TDI 105 cv ambition,2005,72000,14200
62,2,6,AUDI A3 1.9 tdi,1997,216000,6000
63,2,6,AUDI A3 sportback 1.9 l 105 ambiente bv5,2008,46500,19500
64,2,6,Audi A3 sportback 2.0 TDI 140cv DSG GPS,2005,85000,16500
65,2,6,Audi a3 sportback ambition 2.0 tdi 140 cv,2008,21000,22900
66,2,6,A3 2.0 dsg s-tronic tdi ambition luxe,2006,56000,21200
67,2,6,A3 2.0 TDI 140cv S-Line &virgule,2005,26000,25000
68,2,6,Audi A3 Cabriolet 2.0 TDI Ambition 140cv Ref:O13,2009,11450,26090
69,2,6,Audi A3 S-Line 2.0 TDI 170&virgule,2009,58200,21990
70,2,6,Audi A3 Ambition Luxe 2.0 TDI 140cv Ref:O10,2008,30500,24190
71,2,6,AUDI A3 - TDI 2.0 AMBITION 140CV. DÃ©cembre 2003,2003,87000,13500
72,2,6,AUDI A3 - TDI 2.0 AMBITION 140CV. DÃ©cembre 2003,2003,87000,13500
73,2,6,Audi A3 Cabriolet 1.9 TDI DPF / Cuir et G.P.S,2009,11300,28500
74,2,6,AUDI A3 1.9 TDI 105 cv excellent Ã©tat,2007,33000,19000
75,2,6,Audi a3 2.0 tdi ambition,2004,120000,11500
76,2,6,Ã€ Saisir Audi A3 TDI 140 Ambition Luxe,2006,78000,15800
77,2,6,AUDI A3 SPORTBACK 2.0 TDI 140 CV - 49 000 kms,2006,49000,17900
78,2,6,Audi A3 Ambition 2.0l tdi 140cv 6 Vitesses,2005,45000,19000
79,2,6,Audi A3 sportback,2007,34000,17500
80,2,6,"Audi a3 ""affaire""",2000,156000,5900
81,2,6,Audi A3 S-LINE 2.0 TDI,2009,23800,27600
82,2,6,Audi a3 2.0 tdi 140 ch pack ambition,2004,145000,10500
83,2,6,Audi a3 tdi 2.0 ambition 140,2007,52000,17300
84,2,6,Audi A3 SPORTBACK 2&virgule,2008,135000,21960
85,2,6,Audi a3 1.9tdi 14.500km 3 portes noir brillant,2008,14500,22000
86,2,6,Audi a3 1.9 tdi ambiente,1999,246000,5400
87,2,6,A3 ambition facelift 2.0tdi 140cv jtes exc 03/2009,2009,9620,23970
88,2,6,Audi a3 2.0l tdi sportback s-line 2008 5800kms,2008,5800,24990
89,2,6,Audi A3 sportback 1.9l tdi,2006,75000,16500
90,2,6,Audi a3 facelift 1.9 tdi ambition dpf 105 ch,2008,33200,19200
91,2,6,Audi A3 TDI 140 CV,2006,140000,12000
92,2,6,Audi a3 sporback,2006,63000,16100
93,2,6,Audi A3 2.0L tdi ambition,2003,193000,9500
94,2,6,Belle AUDI A3 1&virgule,1998,216000,5500
95,2,6,AUDI A3 1.9TDI 130 S-LINE AN 02 NOIR CUIR 8500e,2002,171000,8500
96,2,6,Audi a3 1.9 l tdi 110 cv,1998,230000,4000
97,2,6,Audi A3 Sportback 1.9 TDI s-line Ref:B25,2009,29900,23390
98,2,6,AUDI A3 SPORTBACK 2.0L 170cv S-LINE,2007,60000,20000
99,2,6,Audi A3 S-line 2.0L 140 ch 2008,2008,47000,19990
100,2,6,Audi A3 Sportback 2.0 TDI Ref:43,2008,33500,21200
101,2,6,Audi A3 s line,2008,22500,23500
102,2,6,Audi a3 sport back s line 2009 2.0 l tdi 140 ch,2009,18000,24990
103,2,7,Audi a4 avant 2.0 tdi 140 ch ambiente bv6,2006,68900,17990
104,2,7,AUDI A4 1&virgule,2001,94500,9900
105,2,7,Audi A4 2&virgule,2008,29500,24990
106,2,7,Audi A4 1&virgule,2003,135000,10500
107,2,7,Audi A4 2.5 TDI quattro 150 cv,1999,150000,8900
108,2,7,Audi A4 1.9 TDI accidentÃ©,1996,190000,1000
109,2,7,Audi A4 1.9TDI PACK LUXE 115 CV,2000,168000,9000
110,2,7,Audi a4 new ambition 2.0 tdi fap,2009,24000,26300
111,2,7,Audi a4 1.9 tdi 100 cv toute options etat neuf,2002,168000,7700
112,2,7,Audi a4 1.9 tdi 100 cv toute options etat neuf,2002,168000,7700
113,2,7,Audi a4 avant 1.9 tdi 130cv noir,2004,93000,12500
114,2,7,Audi a4 tdi 2.5 Multitronic,2003,150000,12200
115,2,7,Audi a4 avant 1.9 tdi 130cv noir,2004,93000,12500
116,2,7,Audi a4 tdi 2.5 Multitronic,2003,150000,12200
117,2,7,A4 sport 2.0 tdi 143 cv,2008,57000,25900
118,2,7,Audi a4 1.9 tdi ambiente,2006,82500,14900
119,2,7,A4 sport 2.0 tdi 143 cv,2008,57000,25900
120,2,7,Audi A4 TDi 115cv 2001 8000 \u0080,2001,129900,8000
121,2,7,Audi A4 TDi 115cv 2001 8000 \u0080,2001,129900,8000
122,2,7,Audi A4 break,2000,113000,9500
123,2,7,Audi A4 - 1.9TDI - 130CV,2002,193000,8000
124,2,7,Audi A4 break,2000,113000,9500
125,2,7,Audi A4 - 1.9TDI - 130CV,2002,193000,8000
126,2,7,Audi A4 2.0 TDI 143 CV Ambition luxe BV6,2008,39700,27990
127,2,7,Audi A4 2.0 TDI 143 CV Ambition luxe BV6,2008,39700,27990
128,2,7,A saisir audi a4 tdi 130 pack - faible kilometrage,2004,93000,12400
129,2,7,A saisir audi a4 tdi 130 pack - faible kilometrage,2004,93000,12400
130,2,7,Audi a4 breack tdi 130 pack plus contre touran,2002,147500,11500
131,2,7,Audi a4 bk v6 2.5 tdi 163cv multitronic quatro,2002,126000,7900
132,2,7,Audi a4 bk v6 2.5 tdi 163cv multitronic quatro,2002,126000,7900
133,2,7,Audi a4 avant 2.0 tdi 140 cv noire,2007,55000,20000
134,2,7,Tres belle audi a4 tdi 130,2002,170000,7800
135,2,7,Audi A4 breack quattro,2002,95000,12300
136,2,7,Echange audi a4/s4,1997,230000,4300
137,2,7,Audi A4 s-line serie limitÃ©e,2003,227500,9990
138,2,7,Audi a 4 1.9tdi 130ch,2002,204000,7200
139,2,7,Audi A4 Break&virgule,2004,162000,9900
140,2,7,Audi a 4 2&virgule,2003,142000,12900
141,2,7,A4 ambition luxe multitronic 100mkms ct vierge,2005,100000,16500
142,2,7,A4 2.0l TDI 140cv AMBITION LUXE MULTITRONIC 98000K,2005,100000,16500
143,2,7,Av A4 ambiente 2.5 tdi 163 multitronic,2005,47910,18500
144,2,7,AUDi A4 1.9 TDi 110chv RS4,1998,260000,3500
145,2,7,Audi a4 1.9 tdi 90cv,1995,290000,3000
146,2,7,A4 avant 2.0 tdi 140 cv s/line clim auto+j.alu 17,2006,54618,19150
147,2,7,A4 avant s/line 2.0tdi 143cv navi+xenon+l 04/2009,2009,27107,32970
148,2,7,A4 cabriolet s/line 2.0tdi 140cv xenon+cuir+bose+p,2006,40935,23970
149,2,7,A4 ambiente 2.0 tdi 143 cv navi+xenon+leds 09/2008,2008,26975,26450
150,2,7,Audi a4 break sline pack int + ext 2.0 tdi 2008,2008,74000,21000
151,2,7,Audi a4 avant 1.9 tdi 130 cv pack plus,2004,106000,14000
